counterbalancing_condition,counterbalancing_condition_full,consent_prescreening.block_1/declare_consent,consent_prescreening.block_1/age_years,consent_prescreening.block_1/gender,consent_prescreening.block_1/language_disorder,consent_prescreening.block_1/first_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,check_prescreening_answers.started,check_prescreening_answers.stopped,Instructions.started,Instructions.stopped,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_keyboard.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,presentTrial.started,presentTrial.stopped,response.keys,response.corr,response.rt,response.duration,rt,corr,feedback.started,feedback.stopped,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,IsAnimal,Prime,Flanker,letters,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
0,0,"[""over_18"",""comfortable"",""read_info"",""consent_given""]",22,M,"[""none""]","[""spanish""]",0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,40.1649,40.1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,40.173,59.3941,space,19.2016,,0.268518519,-0.177777778,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCCIONES
Va a realizar una prueba de clasificación de palabras. Desde comienzo de la prueba siempre mire al centro de la pantalla. Al cabo de un momento, aparecerán palabras. La tarea consiste en determinar si la palabra del centro (siempre será un sustantivo) se refiere un animal (no humano).

Pulse la tecla ESPACIO para continuar.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,59.3952,66.2977,space,6.8782,,0.268518519,-0.177777778,0,0,0,0,1,1,1,1,2,instructions,"En el teclado de su dispositivo, pulse la tecla ""S"" para las palabras que se refieren a animales (por ejemplo: ""buey"") y la tecla ""L"" para las palabras que no se refieren a animales (por ejemplo: ""vecino"").
Pulse la tecla ESPACIO para continuar.",1,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,66.2988,76.3548,space,10.0401,,0.268518519,-0.177777778,0,0,0,0,2,2,2,1,3,instructions,"Es muy importante que responda con la mayor rapidez y precisión posibles, ya que cada cadena de letras sólo estará en pantalla durante un instante. Si no responde en ese tiempo, aparecerá el mensaje ""Muy lento"" y el experimento pasará a la siguiente palabra. Los primeros 15 intentos serán de práctica y habrá dos descansos durante la prueba.
Pulse la tecla ESPACIO para iniciar la parte de práctica.",0,keyboardresponseAN.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,109.7781,117.1947,space,7.403,,0.268518519,-0.177777778,0,0,0,,,,,,,,,,,117.2156,118.2226,s,1,0.3503,,0.3503,1,118.2226,118.7228,118.7229,118.7253,0.268518519,-0.177777778,0,0,0,,0,0,0,529,1,530,MAS,DIS,150,1,topo,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,118.7263,119.6674,s,1,0.2816,,0.2816,1,119.6674,120.1673,120.1673,120.1674,0.268518519,-0.177777778,0,0,0,,0,1,1,483,1,484,FEM,DIS,150,1,gamba,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,120.1679,121.23,l,1,0.3989,,0.3989,1,121.23,121.7302,121.7309,121.7313,0.268518519,-0.177777778,0,0,0,,0,2,2,380,1,381,MAS,AGR,150,0,efecto,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,121.7315,122.7441,s,1,0.3573,,0.3573,1,122.7441,123.2443,123.2445,123.2445,0.268518519,-0.177777778,0,0,0,,0,3,3,520,1,521,MAS,AGR,150,1,ciervo,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,123.245,124.3555,l,1,0.4517,,0.4517,1,124.3555,124.8556,124.8556,124.8556,0.268518519,-0.177777778,0,0,0,,0,4,4,323,1,324,MAS,DIS,150,0,pecho,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,124.8561,125.7586,s,1,0.2406,,0.2406,1,125.7587,126.2585,126.2586,126.2586,0.268518519,-0.177777778,0,0,0,,0,5,5,555,1,556,MAS,DIS,150,1,ciervo,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,126.259,127.3491,l,1,0.4317,,0.4317,1,127.3492,127.8492,127.8493,127.8493,0.268518519,-0.177777778,0,0,0,,0,6,6,361,1,362,MAS,DIS,150,0,crimen,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,127.8497,128.9466,l,1,0.4418,,0.4418,1,128.9466,129.4467,129.4467,129.4468,0.268518519,-0.177777778,0,0,0,,0,7,7,144,1,145,FEM,AGR,150,0,ciudad,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,129.4474,130.4815,l,1,0.3781,,0.3781,1,130.4815,130.9815,130.9821,130.9825,0.268518519,-0.177777778,0,0,0,,0,8,8,196,1,197,FEM,AGR,150,0,poesía,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,130.9828,132.3638,l,1,0.7223,,0.7223,1,132.3639,132.8639,132.864,132.864,0.268518519,-0.177777778,0,0,0,,0,9,9,14,1,15,FEM,AGR,150,0,mesa,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,132.8645,133.9544,s,0,0.4359,,0.4359,0,133.9549,134.4544,134.4544,134.4546,0.268518519,-0.177777778,0,0,0,,0,10,10,135,1,136,FEM,DIS,150,0,grasa,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,134.455,135.6213,l,1,0.5105,,0.5105,1,135.6216,136.1214,136.1214,136.1214,0.268518519,-0.177777778,0,0,0,,0,11,11,175,1,176,FEM,DIS,150,0,granja,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,136.1218,137.2395,s,1,0.4603,,0.4603,1,137.2395,137.7396,137.7396,137.7396,0.268518519,-0.177777778,0,0,0,,0,12,12,458,1,459,FEM,AGR,150,1,loba,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,137.7402,138.8301,l,1,0.4351,,0.4351,1,138.8301,139.3302,139.3309,139.3313,0.268518519,-0.177777778,0,0,0,,0,13,13,99,1,100,FEM,DIS,150,0,cinta,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,139.3317,140.5248,l,1,0.5398,,0.5398,1,140.5249,141.0249,141.025,141.025,0.268518519,-0.177777778,0,0,0,,0,14,14,109,1,110,FEM,DIS,150,0,bruja,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,141.0254,142.0458,l,1,0.3613,,0.3613,1,142.0458,142.5458,142.5459,142.5459,0.268518519,-0.177777778,0,0,0,,0,15,15,187,1,188,FEM,DIS,150,0,gloria,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,142.5463,143.5113,l,1,0.3032,,0.3032,1,143.5114,144.0114,144.0114,144.0114,0.268518519,-0.177777778,0,0,0,,0,16,16,411,1,412,MAS,DIS,150,0,tanque,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,144.0118,145.074,s,1,0.403,,0.403,1,145.0741,145.5742,145.5742,145.5742,0.268518519,-0.177777778,0,0,0,,0,17,17,421,1,422,FEM,DIS,150,1,vaca,el,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,145.5748,146.6716,l,1,0.4409,,0.4409,1,146.6716,147.1718,147.1718,147.1719,0.268518519,-0.177777778,0,0,0,,0,18,18,297,1,298,MAS,DIS,150,0,honor,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,147.1725,148.2134,s,1,0.3845,,0.3845,1,148.2134,148.7137,148.7142,148.7145,0.268518519,-0.177777778,0,0,0,,0,19,19,434,1,435,FEM,AGR,150,1,araña,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,148.7148,149.7277,l,1,0.3526,,0.3526,1,149.7278,150.2276,150.2277,150.2277,0.268518519,-0.177777778,0,0,0,,0,20,20,142,1,143,FEM,AGR,150,0,semana,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,150.2282,151.4015,s,1,0.5185,,0.5185,1,151.4016,151.9016,151.9016,151.9016,0.268518519,-0.177777778,0,0,0,,0,21,21,501,1,502,MAS,DIS,150,1,tigre,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,151.902,153.0893,s,1,0.5318,,0.5318,1,153.0893,153.5894,153.5895,153.5895,0.268518519,-0.177777778,0,0,0,,0,22,22,478,1,479,FEM,AGR,150,1,nutria,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,153.5899,154.8118,s,0,0.5632,,0.5632,0,154.812,155.3117,155.3118,155.3118,0.268518519,-0.177777778,0,0,0,,0,23,23,360,1,361,MAS,AGR,150,0,montón,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,155.3123,156.7356,l,1,0.7645,,0.7645,1,156.736,157.2359,157.2359,157.2359,0.268518519,-0.177777778,0,0,0,,0,24,24,397,1,398,MAS,DIS,150,0,cheque,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,157.2363,158.3402,l,1,0.4448,,0.4448,1,158.3402,158.8403,158.8409,158.8412,0.268518519,-0.177777778,0,0,0,,0,25,25,407,1,408,MAS,DIS,150,0,veneno,la,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,158.8415,159.8821,l,1,0.3834,,0.3834,1,159.8821,160.3822,160.3822,160.3822,0.268518519,-0.177777778,0,0,0,,0,26,26,46,1,47,FEM,AGR,150,0,fuga,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,160.3827,161.4308,l,1,0.3893,,0.3893,1,161.4308,161.9309,161.931,161.931,0.268518519,-0.177777778,0,0,0,,0,27,27,157,1,158,FEM,DIS,150,0,abuela,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,161.9314,162.9243,l,1,0.3347,,0.3347,1,162.9243,163.4243,163.4243,163.4243,0.268518519,-0.177777778,0,0,0,,0,28,28,211,1,212,MAS,DIS,150,0,país,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,163.4249,164.5009,l,1,0.417,,0.417,1,164.5009,165.001,165.001,165.001,0.268518519,-0.177777778,0,0,0,,0,29,29,219,1,220,MAS,DIS,150,0,club,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,165.0015,166.0566,l,1,0.3991,,0.3991,1,166.0567,166.5567,166.5573,166.5577,0.268518519,-0.177777778,0,0,0,,0,30,30,343,1,344,MAS,DIS,150,0,túnel,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,166.558,167.5429,l,1,0.3271,,0.3271,1,167.5429,168.0432,168.0432,168.0432,0.268518519,-0.177777778,0,0,0,,0,31,31,300,1,301,MAS,AGR,150,0,suelo,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,168.0437,169.1197,s,1,0.4216,,0.4216,1,169.1197,169.6197,169.6198,169.6199,0.268518519,-0.177777778,0,0,0,,0,32,32,433,1,434,FEM,DIS,150,1,yegua,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,169.6203,170.8769,l,1,0.6011,,0.6011,1,170.8769,171.3769,171.377,171.377,0.268518519,-0.177777778,0,0,0,,0,33,33,215,1,216,MAS,DIS,150,0,tren,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,171.3774,172.3769,l,1,0.3446,,0.3446,1,172.377,172.877,172.8771,172.8771,0.268518519,-0.177777778,0,0,0,,0,34,34,76,1,77,FEM,AGR,150,0,novia,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,172.8776,174.037,l,1,0.5004,,0.5004,1,174.037,174.5371,174.5371,174.5371,0.268518519,-0.177777778,0,0,0,,0,35,35,89,1,90,FEM,DIS,150,0,bolsa,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,174.5375,175.4817,l,1,0.2898,,0.2898,1,175.4818,175.9819,175.9825,175.983,0.268518519,-0.177777778,0,0,0,,0,36,36,410,1,411,MAS,AGR,150,0,hombro,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,175.9832,177.0652,l,1,0.4283,,0.4283,1,177.0653,177.5654,177.5654,177.5654,0.268518519,-0.177777778,0,0,0,,0,37,37,94,1,95,FEM,AGR,150,0,leche,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,177.5659,178.5866,s,1,0.3665,,0.3665,1,178.5866,179.0864,179.0864,179.0865,0.268518519,-0.177777778,0,0,0,,0,38,38,431,1,432,FEM,DIS,150,1,morsa,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,179.0869,180.1978,l,0,0.4557,,0.4557,0,180.1981,180.6977,180.6978,180.6979,0.268518519,-0.177777778,0,0,0,,0,39,39,451,1,452,FEM,DIS,150,1,sepia,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,180.6983,182.0661,l,1,0.7096,,0.7096,1,182.0665,182.5661,182.5661,182.5662,0.268518519,-0.177777778,0,0,0,,0,40,40,272,1,273,MAS,AGR,150,0,nudo,el,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,182.5667,183.9969,l,1,0.7751,,0.7751,1,183.9969,184.497,184.4975,184.4979,0.268518519,-0.177777778,0,0,0,,0,41,41,66,1,67,FEM,AGR,150,0,bota,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,184.4982,185.6154,s,1,0.4612,,0.4612,1,185.6154,186.1153,186.1154,186.1154,0.268518519,-0.177777778,0,0,0,,0,42,42,471,1,472,FEM,DIS,150,1,mosca,el,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,186.1158,187.0808,l,1,0.3056,,0.3056,1,187.0808,187.5809,187.5809,187.5809,0.268518519,-0.177777778,0,0,0,,0,43,43,299,1,300,MAS,DIS,150,0,papel,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,187.5814,188.6714,l,1,0.4307,,0.4307,1,188.6715,189.1715,189.1715,189.1715,0.268518519,-0.177777778,0,0,0,,0,44,44,398,1,399,MAS,AGR,150,0,espejo,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,189.172,190.2619,s,1,0.432,,0.432,1,190.262,190.7619,190.762,190.762,0.268518519,-0.177777778,0,0,0,,0,45,45,551,1,552,MAS,DIS,150,1,búho,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,190.7624,191.8733,l,1,0.4555,,0.4555,1,191.8733,192.3733,192.3734,192.3734,0.268518519,-0.177777778,0,0,0,,0,46,46,143,1,144,FEM,DIS,150,0,esposa,el,6,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,192.3738,193.5054,s,0,0.4721,,0.4721,0,193.5058,194.0055,194.006,194.0065,0.268518519,-0.177777778,0,0,0,,0,47,47,132,1,133,FEM,AGR,150,0,pluma,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,194.0067,195.0058,s,1,0.3402,,0.3402,1,195.0061,195.5058,195.5058,195.5059,0.268518519,-0.177777778,0,0,0,,0,48,48,420,1,421,FEM,AGR,150,1,rata,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,195.5062,196.5197,l,1,0.3554,,0.3554,1,196.5197,197.0198,197.0198,197.0198,0.268518519,-0.177777778,0,0,0,,0,49,49,329,1,330,MAS,DIS,150,0,queso,la,5,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,197.0203,198.0965,l,1,0.419,,0.419,1,198.0965,198.5966,198.5966,198.5966,0.268518519,-0.177777778,0,0,0,,0,50,50,29,1,30,FEM,DIS,150,0,moda,el,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,198.597,199.7287,l,1,0.4774,,0.4774,1,199.7288,200.2286,200.2286,200.2287,0.268518519,-0.177777778,0,0,0,,0,51,51,251,1,252,MAS,DIS,150,0,coro,la,4,,,,
,,,,,,,0f14372b9e0e5063b8dc6471,67d30250bc6dd184d4aaad81,67d895015074575dd872baf6,2025-03-17_18h33.10.894,Tarea de clasificación semántica,2024.2.5,Win32,147.0588235,,,,,,,,,,,,,,,,,,,,,,,200.2293,201.354,l,1,0.4641,,0.4641,1,201.354,201.8541,201.8544,201.8547,0.268518519,-0.177777778,0,0,0,,0,52,52,405,1,406,MAS,DIS,150,0,pánico,la,6,,,,
